"","species","family","skeletaldensityMin","skeletaldensityMax","growthrateMin","growthrateMax","corallitewidthMin","corallitewidthMax","colonydiameterMin","colonydiameterMax","polypfecundityMin","polypfecundityMax","eggsizeMin","eggsizeMax","photosynthesisMin","photosynthesisMax","surfaceareaMin","surfaceareaMax","BRI"
"224","Goniopora pendulus","Poritidae",NA,NA,NA,NA,4.1,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Goniopora somaliensis","Poritidae",NA,NA,NA,NA,2.2,3.1,200,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","Goniopora stokesi","Poritidae",NA,NA,NA,NA,2.7,4.7,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"13.75"
"227","Goniopora tenuidens","Poritidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.29"
"228","Halomitra pileus","Fungiidae",NA,NA,NA,NA,2.4,4.8,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Heliofungia actiniformis","Fungiidae",NA,NA,-13.02,13.98,NA,142,20,20,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"230","Herpolitha limax","Fungiidae",NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"231","Herpolitha limax","Fungiidae",NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"232","Heterocyathus aequicostatus","Caryophylliidae",NA,NA,NA,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Heteropsammia cochlea","Dendrophylliidae",NA,NA,NA,NA,NA,7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Hydnophora exesa","Merulinidae",NA,NA,NA,NA,3,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.07"
"235","Hydnophora microconos","Merulinidae",0.77,1.97,-0.675,1.725,3.6,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.22"
"236","Hydnophora pilosa","Merulinidae",NA,NA,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","Hydnophora rigida","Merulinidae",NA,NA,NA,NA,4.7,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.62"
"238","Indophyllia macassarensis","Lobophylliidae",NA,NA,NA,NA,NA,NA,4.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Isopora brueggemanni","Acroporidae",NA,NA,NA,NA,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.58"
"240","Isopora cuneata","Acroporidae",NA,NA,NA,NA,0.5,1,20,20,NA,NA,NA,NA,NA,NA,NA,NA,"18.96"
"241","Isopora palifera","Acroporidae",0.873334707905241,2.16666529209476,NA,NA,0.7,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.85"
"242","Leptastrea bewickensis","Fungiidae",NA,NA,NA,NA,1.8,4.2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Leptastrea bottae","Fungiidae",NA,NA,NA,NA,1.9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Leptastrea inaequalis","Fungiidae",NA,NA,NA,NA,1.8,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Leptastrea purpurea","Fungiidae",0.79,2.47,-0.75,1.05,1.8,10,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"15.73"
"246","Leptastrea purpurea","Fungiidae",0.79,2.47,-0.75,1.05,1.8,10,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"15.73"
"247","Leptastrea transversa","Fungiidae",NA,NA,NA,NA,5.4,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.27"
"248","Leptoria phrygia","Merulinidae",1.34545510777942,1.87454489222058,NA,NA,2.6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46.01"
"249","Leptoseris explanata","Agariciidae",NA,NA,NA,NA,2.4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Leptoseris foliosa","Agariciidae",NA,NA,NA,NA,1.1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Leptoseris gardineri","Agariciidae",NA,NA,NA,NA,1.4,2.5,600,1000,NA,NA,NA,NA,NA,NA,NA,NA,"71.5"
"252","Leptoseris hawaiiensis","Agariciidae",NA,NA,NA,NA,1.6,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Leptoseris mycetoseroides","Agariciidae",NA,NA,NA,NA,1.9,4.4,100,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Leptoseris papyracea","Agariciidae",NA,NA,NA,NA,2.5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71.5"
"255","Leptoseris scabra","Agariciidae",NA,NA,NA,NA,3.8,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Leptoseris solida","Agariciidae",NA,NA,NA,NA,2.5,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Leptoseris yabei","Agariciidae",NA,NA,NA,NA,2.3,3.7,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"19.26"
"258","Cycloseris mokai","Fungiidae",NA,NA,NA,NA,3.5,7.5,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","Lithophyllon undulatum","Fungiidae",NA,NA,NA,NA,2.3,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Lobophyllia corymbosa","Lobophylliidae",NA,NA,NA,NA,2.5,2.5,50,200,2800,2800,NA,NA,NA,NA,NA,NA,"42.83"
"261","Lobophyllia dentata","Lobophylliidae",NA,NA,NA,NA,14,32.6,200,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Lobophyllia diminuta","Lobophylliidae",NA,NA,NA,NA,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Lobophyllia hataii","Lobophylliidae",NA,NA,NA,NA,25,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.75"
"264","Lobophyllia hemprichii","Lobophylliidae",NA,NA,NA,NA,16.5,26.8,500,500,NA,NA,NA,NA,NA,NA,NA,NA,"50.42"
"265","Lobophyllia pachysepta","Lobophylliidae",NA,NA,NA,NA,14.1,32.6,50,50,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"266","Lobophyllia robusta","Lobophylliidae",NA,NA,NA,NA,NA,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4"
"267","Madracis kirbyi","Pocilloporidae",NA,NA,NA,NA,1.9,2.6,125,125,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Merulina ampliata","Merulinidae",NA,NA,NA,NA,3.8,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"58.64"
"269","Merulina scabricula","Merulinidae",NA,NA,NA,NA,1.8,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.09"
"270","Micromussa amakusensis","Lobophylliidae",NA,NA,NA,NA,5.7,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Montipora aequituberculata","Acroporidae",NA,NA,NA,NA,0.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.61"
"272","Montipora angulata","Acroporidae",NA,NA,NA,NA,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Montipora australiensis","Acroporidae",NA,NA,NA,NA,0.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Montipora caliculata","Acroporidae",NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.76"
"275","Montipora capricornis","Acroporidae",NA,NA,NA,NA,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","Montipora cebuensis","Acroporidae",NA,NA,NA,NA,0.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Montipora confusa","Acroporidae",NA,NA,NA,NA,0.6,0.7,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Montipora corbettensis","Acroporidae",NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Montipora crassituberculata","Acroporidae",NA,NA,NA,NA,1.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.87"
"280","Montipora danae","Acroporidae",NA,NA,NA,NA,0.9,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72.65"
"281","Montipora digitata","Acroporidae",NA,NA,-0.878333333333332,23.9616666666667,0.8,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.52"
"282","Montipora efflorescens","Acroporidae",NA,NA,NA,NA,0.6,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","Montipora floweri","Acroporidae",NA,NA,NA,NA,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","Montipora foliosa","Acroporidae",NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19.42"
"285","Montipora foveolata","Acroporidae",NA,NA,NA,NA,2.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.93"
"286","Montipora grisea","Acroporidae",NA,NA,NA,NA,0.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28.62"
"287","Montipora hispida","Acroporidae",NA,NA,NA,NA,0.9,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.58"
"288","Montipora hodgsoni","Acroporidae",NA,NA,NA,NA,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","Montipora hoffmeisteri","Acroporidae",NA,NA,NA,NA,0.8,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.13"
"290","Montipora incrassata","Acroporidae",NA,NA,NA,NA,1,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291","Montipora informis","Acroporidae",NA,NA,NA,NA,1.2,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"72.85"
"292","Montipora millepora","Acroporidae",NA,NA,NA,NA,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","Montipora mollis","Acroporidae",NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"52.46"
"294","Montipora monasteriata","Acroporidae",NA,NA,NA,NA,0.7,1.1,NA,NA,NA,NA,NA,NA,2.74,3.92,NA,NA,"31.43"
"295","Montipora nodosa","Acroporidae",NA,NA,NA,NA,0.8,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","Montipora palawanensis","Acroporidae",NA,NA,NA,NA,0.6,0.7,200,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","Montipora peltiformis","Acroporidae",NA,NA,NA,NA,0.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45.32"
"298","Montipora spongodes","Acroporidae",NA,NA,NA,NA,0.9,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60.91"
"299","Montipora spumosa","Acroporidae",NA,NA,NA,NA,0.7,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","Montipora stellata","Acroporidae",NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","Montipora tuberculosa","Acroporidae",NA,NA,NA,NA,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.43"
"302","Montipora turgescens","Acroporidae",NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","Montipora turtlensis","Acroporidae",NA,NA,NA,NA,0.6,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","Montipora undata","Acroporidae",NA,NA,NA,NA,0.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43.45"
"305","Montipora venosa","Acroporidae",NA,NA,NA,NA,1.2,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.38"
"306","Montipora verrucosa","Acroporidae",NA,NA,-0.911987071205378,5.60653252575083,0.8,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.75"
"307","Montipora verruculosa","Acroporidae",NA,NA,NA,NA,0.7,0.8,200,200,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","Moseleya latistellata","Lobophylliidae",NA,NA,NA,NA,56,73,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","Mycedium elephantotus","Merulinidae",NA,NA,NA,NA,7.5,10,300,300,NA,NA,NA,NA,NA,NA,NA,NA,"13.85"
"310","Mycedium mancaoi","Merulinidae",NA,NA,NA,NA,3.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","Mycedium robokaki","Merulinidae",NA,NA,NA,NA,3.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Oulophyllia bennettae","Merulinidae",NA,NA,NA,NA,12.8,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Oulophyllia crispa","Merulinidae",NA,NA,NA,NA,7,11.6,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"22.43"
"314","Oulophyllia levis","Merulinidae",NA,NA,NA,NA,8.6,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Oxypora crassispinosa","Lobophylliidae",NA,NA,NA,NA,6.2,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Oxypora glabra","Lobophylliidae",NA,NA,NA,NA,5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","Oxypora lacera","Lobophylliidae",NA,NA,NA,NA,6.1,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.94"
"318","Pachyseris gemmae","Pachyseridae",NA,NA,NA,NA,1.4,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57.38"
"319","Pachyseris rugosa","Pachyseridae",NA,NA,NA,NA,2.2,4.8,100,1000,NA,NA,NA,NA,NA,NA,NA,NA,"21.72"
"320","Pachyseris speciosa","Pachyseridae",NA,NA,NA,NA,2.4,4.6,200,200,NA,NA,NA,NA,NA,NA,NA,NA,"39.28"
"321","Palauastrea ramosa","Pocilloporidae",NA,NA,NA,NA,1.1,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5"
"322","Merulina triangularis","Merulinidae",NA,NA,NA,NA,7.5,8.8,100,500,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","Pavona cactus","Agariciidae",NA,NA,3.47821027757082,3.57178972242918,1,1.4,1000,1000,NA,NA,NA,NA,NA,NA,NA,NA,"31.5"
"324","Pavona clavus","Agariciidae",1.12517304492868,2.18816028840466,-5.9570095967876,8.32475153227147,1.7,3.4,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,"44.56"
"325","Pavona decussata","Agariciidae",NA,NA,NA,NA,1.9,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.43"
"326","Pavona duerdeni","Agariciidae",NA,NA,-4.68333333333333,6.11666666666667,1.9,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47.6"
"327","Pavona explanulata","Agariciidae",NA,NA,NA,NA,2.3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.41"
"328","Pavona maldivensis","Agariciidae",NA,NA,NA,NA,2.9,4.1,30,30,NA,NA,NA,NA,NA,NA,NA,NA,"3.93"
"329","Pavona minuta","Agariciidae",NA,NA,NA,NA,1.9,3.3,100,1000,NA,NA,NA,NA,NA,NA,NA,NA,"63.25"
"330","Pavona varians","Agariciidae",1.45060715401553,2.47939284598447,-3.98387435135316,4.55054101801982,4.7,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.85"
"331","Pavona venosa","Agariciidae",NA,NA,NA,NA,5.2,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.98"
"332","Pectinia alcicornis","Merulinidae",NA,NA,NA,NA,18.8,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.69"
"333","Pectinia lactuca","Merulinidae",NA,NA,NA,NA,27.5,30,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"68.81"
"334","Pectinia maxima","Merulinidae",NA,NA,NA,NA,7.5,15,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","Pectinia paeonia","Merulinidae",NA,NA,NA,NA,30,35,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"45.24"
"336","Physogyra lichtensteini","Plesiastreidae",NA,NA,NA,NA,6,20,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"71.5"
"337","Platygyra acuta","Merulinidae",NA,NA,NA,NA,4.3,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.63"
"338","Platygyra contorta","Merulinidae",NA,NA,NA,NA,2.8,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Platygyra daedalea","Merulinidae",NA,NA,NA,NA,5.8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45.36"
"340","Platygyra lamellina","Merulinidae",NA,NA,NA,NA,8.1,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.59"
"341","Platygyra pini","Merulinidae",NA,NA,NA,NA,4.7,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.32"
"342","Platygyra ryukyuensis","Merulinidae",NA,NA,NA,NA,1.6,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.32"
"343","Platygyra sinensis","Merulinidae",NA,NA,-5.18,6.28,3.3,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40.05"
"344","Platygyra verweyi","Merulinidae",NA,NA,NA,NA,2.8,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34.91"
"345","Platygyra yaeyamaensis","Merulinidae",NA,NA,NA,NA,3.7,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","Plerogyra sinuosa","Plesiastreidae",NA,NA,NA,NA,15,30,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"71.5"
"347","Plesiastrea versipora","Plesiastreidae",NA,NA,NA,NA,2.9,4.6,100,300,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"348","Pocillopora ankeli","Pocilloporidae",NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","Pocillopora brevicornis","Pocilloporidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","Pocillopora damicornis","Pocilloporidae",1.58221249379478,2.27112083953855,-16.6718038118839,23.4568593674395,0.8,1,200,200,NA,NA,NA,NA,2.6,9.1,NA,NA,"42.29"
"351","Pocillopora danae","Pocilloporidae",NA,NA,NA,NA,0.8,1.2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"39.84"
"352","Pocillopora eydouxi","Pocilloporidae",NA,NA,-11.8333333333333,16.9666666666667,0.8,1,100,100,NA,NA,NA,NA,1.61,1.61,NA,NA,"21.85"
"353","Pocillopora kelleheri","Pocilloporidae",NA,NA,NA,NA,0.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","Pocillopora meandrina","Pocilloporidae",1.42,1.42,-9.03604166666667,13.3094583333333,0.6,0.7,100,100,NA,NA,NA,NA,NA,NA,NA,NA,"32.77"
"355","Pocillopora verrucosa","Pocilloporidae",NA,NA,-36.3269251140527,41.2519251140527,0.3,0.7,50,50,NA,NA,NA,NA,NA,NA,NA,NA,"25.82"
"356","Pocillopora woodjonesi","Pocilloporidae",NA,NA,NA,NA,0.6,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","Podabacia crustacea","Fungiidae",NA,NA,NA,NA,1.9,3,150,150,NA,NA,NA,NA,NA,NA,NA,NA,"5.41"
"358","Podabacia motuporensis","Fungiidae",NA,NA,NA,NA,2.3,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","Polyphyllia talpina","Fungiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","Porites annae","Poritidae",0.583334707905241,1.87666529209476,NA,NA,1,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.57"
"361","Porites australiensis","Poritidae",NA,NA,NA,NA,0.1,0.1,NA,NA,72,72,NA,NA,NA,NA,NA,NA,NA
"362","Porites cylindrica","Poritidae",0.827614034677087,2.01238596532291,-2.07958333333333,5.09191666666667,0.8,1.1,1000,1000,NA,NA,NA,NA,0.8,4.06,NA,NA,"28.95"
"363","Porites deformis","Poritidae",NA,NA,NA,NA,1.2,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","Porites densa","Poritidae",NA,NA,NA,NA,1,1.3,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","Porites evermanni","Poritidae",NA,NA,NA,NA,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.5"
"366","Porites heronensis","Poritidae",NA,NA,-2.065,3.815,0.9,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23.21"
"367","Porites lichen","Poritidae",NA,NA,-33.254958911121,35.9716255777876,1.3,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.79"
"368","Porites lobata","Poritidae",1.14302117092752,1.69472882907248,-4.47482304276613,6.08778584038517,0.9,1.1,400,685,NA,NA,NA,NA,NA,NA,NA,NA,"35.79"
"369","Porites lutea","Poritidae",0.96478651532273,1.63742777039156,-7.83030685084239,10.4543298393481,0.1,0.1,400,400,72,72,NA,NA,NA,NA,NA,NA,"24.58"
"370","Porites mayeri","Poritidae",0.87,1.47,-7.91666666666667,10.0833333333333,1.3,1.6,400,400,NA,NA,NA,NA,NA,NA,NA,NA,"11.69"
"371","Porites monticulosa","Poritidae",NA,NA,NA,NA,0.9,1.2,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"372","Porites murrayensis","Poritidae",NA,NA,NA,NA,0.7,1,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373","Porites myrmidonensis","Poritidae",NA,NA,NA,NA,0.9,1.4,400,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"374","Porites nigrescens","Poritidae",NA,NA,-37.2229452271276,40.1896118937943,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41.33"
"375","Porites rus","Poritidae",NA,NA,0.395,2.145,0.6,0.8,500,500,NA,NA,NA,NA,NA,NA,NA,NA,"7.28"
"376","Porites solida","Poritidae",NA,NA,-4.95,6.15,1.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.75"
"377","Porites stephensoni","Poritidae",NA,NA,NA,NA,0.9,1.3,10,10,NA,NA,NA,NA,NA,NA,NA,NA,"0"
"378","Porites vaughani","Poritidae",NA,NA,NA,NA,0.6,0.8,20,20,NA,NA,NA,NA,NA,NA,NA,NA,"24.05"
"379","Psammocora albopicta","Psammocoridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Psammocora contigua","Psammocoridae",NA,NA,NA,NA,1.1,1.5,50,50,NA,NA,NA,NA,NA,NA,NA,NA,"28.42"
"381","Psammocora digitata","Psammocoridae",NA,NA,NA,NA,1.8,2.3,6.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA,"41.42"
"382","Cycloseris explanulata","Fungiidae",NA,NA,NA,NA,3.4,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"383","Psammocora haimiana","Psammocoridae",NA,NA,NA,NA,1.7,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Psammocora nierstraszi","Psammocoridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"385","Psammocora contigua","Psammocoridae",NA,NA,NA,NA,1.1,1.5,50,50,NA,NA,NA,NA,NA,NA,NA,NA,"28.42"
"386","Psammocora profundacella","Psammocoridae",NA,NA,NA,NA,1.8,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Pseudosiderastrea tayamai","Siderastreidae",NA,NA,NA,NA,3.5,4,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"388","Sandalolitha dentata","Fungiidae",NA,NA,NA,NA,1.8,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"389","Sandalolitha robusta","Fungiidae",NA,NA,NA,NA,3.9,4.6,50,50,NA,NA,NA,NA,NA,NA,NA,NA,"0.26"
"390","Scapophyllia cylindrica","Merulinidae",NA,NA,NA,NA,2.9,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.33"
"391","Seriatopora caliendrum","Pocilloporidae",NA,NA,NA,NA,0.7,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65.82"
"392","Seriatopora hystrix","Pocilloporidae",0.877275538897084,3.52272446110292,-41.1333333333333,44.3666666666667,0.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61.46"
"393","Stylaraea punctata","Poritidae",NA,NA,NA,NA,1.1,1.2,1.5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"394","Stylocoeniella armata","Pocilloporidae",NA,NA,NA,NA,1.3,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395","Stylocoeniella guentheri","Pocilloporidae",NA,NA,NA,NA,1,1.1,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396","Stylophora pistillata","Pocilloporidae",1.5117784497401,2.0170429842599,-12.2624662264688,16.0795823957205,0.9,1.4,NA,NA,0.0266,1.9034,NA,NA,NA,NA,4.9775,4.9775,"56.42"
"397","Lobophyllia agaricia","Lobophylliidae",NA,NA,NA,NA,20,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","Lobophyllia radians","Lobophylliidae",NA,NA,NA,NA,25,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Lobophyllia recta","Lobophylliidae",NA,NA,NA,NA,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","Lobophyllia valenciennesii","Lobophylliidae",NA,NA,NA,NA,30,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Trachyphyllia geoffroyi","Merulinidae",NA,NA,NA,NA,3.5,4,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","Turbinaria bifrons","Dendrophylliidae",NA,NA,NA,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71.5"
"403","Turbinaria conspicua","Dendrophylliidae",NA,NA,NA,NA,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Turbinaria frondens","Dendrophylliidae",NA,NA,-12.5733333333333,14.9066666666667,0.9,1.1,400,400,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Turbinaria heronensis","Dendrophylliidae",NA,NA,NA,NA,3.5,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
