"","species","family","skeletaldensityMin","skeletaldensityMax","growthrateMin","growthrateMax","corallitewidthMin","corallitewidthMax","colonydiameterMin","colonydiameterMax","polypfecundityMin","polypfecundityMax","eggsizeMin","eggsizeMax","photosynthesisMin","photosynthesisMax","surfaceareaMin","surfaceareaMax","BRI"
"94","Alveopora verrilliana","Acroporidae",NA,NA,NA,NA,1,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Anacropora forbesi","Acroporidae",NA,NA,NA,NA,0.2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Anacropora matthai","Acroporidae",NA,NA,NA,NA,0.5,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Anacropora puertogalerae","Acroporidae",NA,NA,NA,NA,0.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Anacropora reticulata","Acroporidae",NA,NA,NA,NA,0.5,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Astrea annuligera","Merulinidae",NA,NA,NA,NA,2.6,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Astrea curta","Merulinidae",NA,NA,-0.923333333333333,1.35666666666667,7,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.25"
"101","Astreopora cucullata","Acroporidae",NA,NA,NA,NA,1.8,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Astreopora expansa","Acroporidae",NA,NA,NA,NA,2.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Astreopora gracilis","Acroporidae",NA,NA,NA,NA,1.4,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Astreopora incrustans","Acroporidae",NA,NA,NA,NA,0.7,0.9,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Astreopora listeri","Acroporidae",NA,NA,NA,NA,1.3,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Astreopora moretonensis","Acroporidae",NA,NA,NA,NA,2.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Astreopora myriophthalma","Acroporidae",NA,NA,NA,NA,2.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.75"
"108","Astreopora ocellata","Acroporidae",NA,NA,NA,NA,1.1,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Astreopora randalli","Acroporidae",NA,NA,NA,NA,1.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Astreopora scabra","Acroporidae",NA,NA,NA,NA,1.6,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Australogyra zelli","Merulinidae",NA,NA,NA,NA,5,7.2,200,200,NA,NA,NA,NA,NA,NA,NA,NA,"55.89"
"112","Bernardpora stutchburyi","Poritidae",NA,NA,NA,NA,1.4,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Blastomussa merleti","Plesiastreidae",NA,NA,NA,NA,3.8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Blastomussa wellsi","Plesiastreidae",NA,NA,NA,NA,10,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Cantharellus jebbi","Fungiidae",NA,NA,NA,NA,NA,70,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Cantharellus noumeae","Fungiidae",NA,NA,NA,NA,NA,200,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
