Leptoseris,hawaiiensis
Leptoseris,mycetoseroides
Leptoseris,papyracea
Leptoseris,scabra
Leptoseris,solida
Leptoseris,yabei
Lithophyllon,mokai
Lithophyllon,undulatum
Lobophyllia,corymbosa
Lobophyllia,dentata
Lobophyllia,diminuta
Lobophyllia,hataii
Lobophyllia,hemprichii
Lobophyllia,pachysepta
Lobophyllia,robusta
Madracis,kirbyi
Merulina,ampliata
Merulina,scabricula
Micromussa,amakusensis
Montipora,aequituberculata
Montipora,angulata
Montipora,australiensis
Montipora,caliculata
Montipora,capricornis
Montipora,cebuensis
Montipora,confusa
Montipora,corbettensis
Montipora,crassituberculata
Montipora,danae
Montipora,digitata
Montipora,efflorescens
Montipora,floweri
Montipora,foliosa
Montipora,foveolata
Montipora,grisea
Montipora,hispida
Montipora,hodgsoni
Montipora,hoffmeisteri
Montipora,incrassata
Montipora,informis
Montipora,millepora
Montipora,mollis
Montipora,monasteriata
Montipora,nodosa
Montipora,palawanensis
Montipora,peltiformis
Montipora,spongodes
Montipora,spumosa
Montipora,stellata
Montipora,tuberculosa
Montipora,turgescens
Montipora,turtlensis
Montipora,undata
Montipora,venosa
Montipora,verrucosa
Montipora,verruculosa
Moseleya,latistellata
Mycedium,elephantotus
Mycedium,mancaoi
Mycedium,robokaki
Oulophyllia,bennettae
Oulophyllia,crispa
Oulophyllia,levis
Oxypora,crassispinosa
Oxypora,glabra
Oxypora,lacera
Pachyseris,gemmae
Pachyseris,rugosa
Pachyseris,speciosa
Palauastrea,ramosa
Paraclavarina,triangularis
Parascolymia,australis
Parascolymia,vitiensis
Pavona,cactus
Pavona,clavus
Pavona,decussata
Pavona,duerdeni
Pavona,explanulata
Pavona,maldivensis
Pavona,minuta
Pavona,varians
Pavona,venosa
Pectinia,alcicornis
Pectinia,lactuca
Pectinia,maxima
Pectinia,paeonia
Phymastrea,colemani
Phymastrea,magnistellata
Phymastrea,valenciennesii
Physogyra,lichtensteini
Platygyra,acuta
Platygyra,contorta
Platygyra,daedalea
Platygyra,lamellina
Platygyra,pini
Platygyra,ryukyuensis
Platygyra,sinensis
Platygyra,verweyi
Platygyra,yaeyamaensis
Plerogyra,sinuosa
Plesiastrea,versipora
Pocillopora,acuta
Pocillopora,ankeli
Pocillopora,brevicornis
Pocillopora,damicornis
Pocillopora,danae
Pocillopora,eydouxi
Pocillopora,kelleheri
Pocillopora,meandrina
Pocillopora,verrucosa
Pocillopora,woodjonesi
Podabacia,crustacea
Podabacia,motuporensis
Polyphyllia,talpina
Porites,annae
Porites,australiensis
Porites,cylindrica
Porites,deformis
Porites,densa
Porites,evermanni
Porites,heronensis
Porites,lichen
Porites,lobata
Porites,lutea
Porites,mayeri
Porites,monticulosa
Porites,murrayensis
Porites,myrmidonensis
Porites,nigrescens
Porites,rus
Porites,solida
Porites,stephensoni
Porites,vaughani
Psammocora,albopicta
Psammocora,contigua
Psammocora,digitata
Psammocora,explanulata
Psammocora,haimiana
Psammocora,nierstraszi
Psammocora,obtusangula
Psammocora,profundacella
Pseudosiderastrea,tayamai
Sandalolitha,boucheti
Sandalolitha,dentata
Sandalolitha,robusta
Scapophyllia,cylindrica
Seriatopora,caliendrum
Seriatopora,hystrix
Stylaraea,punctata
Stylocoeniella,armata
Stylocoeniella,guentheri
Stylophora,pistillata
Symphyllia,agaricia
Symphyllia,radians
Symphyllia,recta
Symphyllia,valenciennesii
Trachyphyllia,geoffroyi
Turbinaria,bifrons
Turbinaria,conspicua
Turbinaria,frondens
Turbinaria,heronensis
Turbinaria,irregularis
Turbinaria,mesenterina
Turbinaria,patula
Turbinaria,peltata
Turbinaria,radicalis
Turbinaria,reniformis
Turbinaria,stellulata
Zoopilus,echinatus
