"","species_COTW","species_old","species_new","family_old","family_new","major_clade"
"168","Favia danae","Favia danae","Dipsastraea danai","Faviidae","Merulinidae","robust"
"169","Favia favus","Favia favus","Dipsastraea favus","Faviidae","Merulinidae","robust"
"170","Favia helianthoides","Favia helianthoides","Dipsastraea helianthoides","Faviidae","Merulinidae","robust"
"171","Favia laddi","NA","NA","NA","NA","NA"
"172","Favia laxa","Favia laxa","Dipsastraea laxa","Faviidae","Merulinidae","robust"
"173","Favia lizardensis","Favia lizardensis","Dipsastraea lizardensis","Faviidae","Merulinidae","robust"
"174","Favia maritima","Favia maritima","Dipsastraea maritima","Faviidae","Merulinidae","robust"
"175","Favia matthaii","Favia matthaii","Dipsastraea matthaii","Faviidae","Merulinidae","robust"
"176","Favia maxima","Favia maxima","Dipsastraea maxima","Faviidae","Merulinidae","robust"
"177","Favia pallida","Favia pallida","Dipsastraea pallida","Faviidae","Merulinidae","robust"
"178","Favia rosaria","Favia rosaria","Dipsastraea rosaria","Faviidae","Merulinidae","robust"
"179","Favia rotumana","Favia rotumana","Dipsastraea rotumana","Faviidae","Merulinidae","robust"
"180","Favia rotundata","Favia rotundata","Favites rotundata","Faviidae","Merulinidae","robust"
"181","Favia speciosa","Favia speciosa","Dipsastraea speciosa","Faviidae","Merulinidae","robust"
"182","Favia stelligera","Favia stelligera","Goniastrea stelligera","Faviidae","Merulinidae","robust"
"183","Favia truncatus","Favia truncatus","Dipsastraea truncata","Faviidae","Merulinidae","robust"
"184","Favia veroni","Favia veroni","Dipsastraea veroni","Faviidae","Merulinidae","robust"
"185","Favia vietnamensis","Favia vietnamensis","Dipsastraea vietnamensis","Faviidae","Merulinidae","robust"
"186","Favites abdita","Favites abdita","Favites abdita","Faviidae","Merulinidae","robust"
"187","Favites chinensis","Favites chinensis","Favites chinensis","Faviidae","Merulinidae","robust"
"188","Favites complanata","Favites complanata","Favites complanata","Faviidae","Merulinidae","robust"
"189","Favites flexuosa","Favites flexuosa","Favites flexuosa","Faviidae","Merulinidae","robust"
"190","Favites halicora","Favites halicora","Favites halicora","Faviidae","Merulinidae","robust"
"191","Favites pentagona","Favites pentagona","Favites pentagona","Faviidae","Merulinidae","robust"
"192","Favites russelli","Favites russelli","Paragoniastrea russelli","Faviidae","Merulinidae","robust"
"193","Fungia concinna","Fungia concinna","Lithophyllon concinna","Fungiidae","Fungiidae","robust"
"194","Fungia corona","Fungia corona","Danafungia scruposa","Fungiidae","Fungiidae","robust"
"195","Fungia danai","Fungia danai","Danafungia scruposa","Fungiidae","Fungiidae","robust"
"196","Fungia fralinae","Fungia fralinae","Heliofungia fralinae","Fungiidae","Fungiidae","robust"
"197","Fungia fungites","NA","NA","NA","NA","NA"
"198","Fungia granulosa","Fungia granulosa","Pleuractis granulosa","Fungiidae","Fungiidae","robust"
"199","Fungia gravis","Fungia gravis","Pleuractis gravis","Fungiidae","Fungiidae","robust"
"200","Fungia horrida","Fungia horrida","Danafungia horrida","Fungiidae","Fungiidae","robust"
"201","Fungia kluzingeri","Fungia kluzingeri","Danafungia horrida","Fungiidae","Fungiidae","robust"
"202","Fungia moluccensis","Fungia moluccensis","Pleuractis moluccensis","Fungiidae","Fungiidae","robust"
"203","Fungia paumotensis","Fungia paumotensis","Pleuractis paumotensis","Fungiidae","Fungiidae","robust"
"204","Fungia repanda","Fungia repanda","Lithophyllon repanda","Fungiidae","Fungiidae","robust"
"205","Fungia scabra","Fungia scabra","Lithophyllon scabra","Fungiidae","Fungiidae","robust"
"206","Fungia scruposa","NA","NA","NA","NA","NA"
"207","Fungia scutaria","Fungia scutaria","Lobactis scutaria","Fungiidae","Fungiidae","robust"
"208","Galaxea acrhelia","Galaxea acrhelia","Galaxea acrhelia","Oculinidae","Euphylliidae","complex"
"209","Galaxea astreata","Galaxea astreata","Galaxea astreata","Oculinidae","Euphylliidae","complex"
"210","Galaxea fascicularis","Galaxea fascicularis","Galaxea fascicularis","Oculinidae","Euphylliidae","complex"
"211","Galaxea horrescens","Acrhelia horrescens","Galaxea horrescens","Oculinidae","Euphylliidae","complex"
"212","Galaxea longisepta","Galaxea longisepta","Galaxea longisepta","Oculinidae","Euphylliidae","complex"
"213","Gardineroseris planulata","Gardineroseris planulata","Gardineroseris planulata","Agariciidae","Agariciidae","complex"
"214","Goniastrea aspera","Goniastrea aspera","Coelastrea aspera","Faviidae","Merulinidae","robust"
"215","Goniastrea australensis","Goniastrea australensis","Paragoniastrea australensis","Faviidae","Merulinidae","robust"
"216","Goniastrea edwardsi","Goniastrea edwardsi","Goniastrea edwardsi","Faviidae","Merulinidae","robust"
"217","Goniastrea favulus","Goniastrea favulus","Goniastrea favulus","Faviidae","Merulinidae","robust"
"218","Goniastrea palauensis","Goniastrea palauensis","Coelastrea palauensis","Faviidae","Merulinidae","robust"
"219","Goniastrea pectinata","Goniastrea pectinata","Goniastrea pectinata","Faviidae","Merulinidae","robust"
"220","Goniastrea retiformis","Goniastrea retiformis","Goniastrea retiformis","Faviidae","Merulinidae","robust"
"221","Goniopora columna","Goniopora columna","Goniopora columna","Poritidae","Poritidae","complex"
"222","Goniopora djiboutiensis","Goniopora djiboutiensis","Goniopora djiboutiensis","Poritidae","Poritidae","complex"
"223","Goniopora eclipsensis","Goniopora eclipsensis","Goniopora eclipsensis","Poritidae","Poritidae","complex"
"224","Goniopora fruticosa","Goniopora fruticosa","Goniopora fruticosa","Poritidae","Poritidae","complex"
"225","Goniopora lobata","Goniopora lobata","Goniopora lobata","Poritidae","Poritidae","complex"
"226","Goniopora minor","Goniopora minor","Goniopora minor","Poritidae","Poritidae","complex"
"227","Goniopora norfolkensis","Goniopora norfolkensis","Goniopora norfolkensis","Poritidae","Poritidae","complex"
"228","Goniopora palmensis","Goniopora palmensis","Goniopora palmensis","Poritidae","Poritidae","complex"
"229","Goniopora pandoraensis","Goniopora pandoraensis","Goniopora pandoraensis","Poritidae","Poritidae","complex"
"230","Goniopora pendulus","Goniopora pendulus","Goniopora pendulus","Poritidae","Poritidae","complex"
"231","Goniopora somaliensis","Goniopora somaliensis","Goniopora somaliensis","Poritidae","Poritidae","complex"
"232","Goniopora stokesi","Goniopora stokesi","Goniopora stokesi","Poritidae","Poritidae","complex"
"233","Goniopora tenuidens","Goniopora tenuidens","Goniopora tenuidens","Poritidae","Poritidae","complex"
"234","Halomitra pileus","Halomitra pileus","Halomitra pileus","Fungiidae","Fungiidae","robust"
"235","Heliofungia actiniformis","Heliofungia actiniformis","Heliofungia actiniformis","Fungiidae","Fungiidae","robust"
"236","Herpolitha limax","Herpolitha limax","Herpolitha limax","Fungiidae","Fungiidae","robust"
"237","Herpolitha weberi","Herpolitha weberi","Herpolitha limax","Fungiidae","Fungiidae","robust"
"238","Heterocyathus aequicostatus","Heterocyathus aequicostatus","Heterocyathus aequicostatus","Caryophylliidae","Caryophylliidae","robust"
"239","Heteropsammia cochlea","Heteropsammia cochlea","Heteropsammia cochlea","Dendrophylliidae","Dendrophylliidae","complex"
"240","Hydnophora exesa","Hydnophora exesa","Hydnophora exesa","Merulinidae","Merulinidae","robust"
"241","Hydnophora microconos","Hydnophora microconos","Hydnophora microconos","Merulinidae","Merulinidae","robust"
"242","Hydnophora pilosa","Hydnophora pilosa","Hydnophora pilosa","Merulinidae","Merulinidae","robust"
"243","Hydnophora rigida","Hydnophora rigida","Hydnophora rigida","Merulinidae","Merulinidae","robust"
"244","Indophyllia macassarensis","Indophyllia macassarensis","Indophyllia macassarensis","Mussidae","Lobophylliidae","robust"
"245","Isopora brueggemanni","Acropora brueggemanni","Isopora brueggemanni","Acroporidae","Acroporidae","complex"
"246","Isopora cuneata","Acropora cuneata","Isopora cuneata","Acroporidae","Acroporidae","complex"
"247","Isopora palifera","Acropora palifera","Isopora palifera","Acroporidae","Acroporidae","complex"
"248","Leptastrea bewickensis","Leptastrea bewickensis","Leptastrea bewickensis","Faviidae","Fungiidae","robust"
"249","Leptastrea bottae","Leptastrea bottae","Leptastrea bottae","Faviidae","Fungiidae","robust"
"250","Leptastrea inaequalis","Leptastrea inaequalis","Leptastrea inaequalis","Faviidae","Fungiidae","robust"
"251","Leptastrea pruinosa","Leptastrea pruinosa","Leptastrea purpurea","Faviidae","Fungiidae","robust"
"252","Leptastrea purpurea","Leptastrea purpurea","Leptastrea purpurea","Faviidae","Fungiidae","robust"
"253","Leptastrea transversa","Leptastrea transversa","Leptastrea transversa","Faviidae","Fungiidae","robust"
"254","Leptoria phrygia","Leptoria phrygia","Leptoria phrygia","Faviidae","Merulinidae","robust"
"255","Leptoseris explanata","Leptoseris explanata","Leptoseris explanata","Agariciidae","Agariciidae","complex"
"256","Leptoseris foliosa","Leptoseris foliosa","Leptoseris foliosa","Agariciidae","Agariciidae","complex"
"257","Leptoseris gardineri","Leptoseris gardineri","Leptoseris gardineri","Agariciidae","Agariciidae","complex"
"258","Leptoseris hawaiiensis","Leptoseris hawaiiensis","Leptoseris hawaiiensis","Agariciidae","Agariciidae","complex"
"259","Leptoseris mycetoseroides","Leptoseris mycetoseroides","Leptoseris mycetoseroides","Agariciidae","Agariciidae","complex"
"260","Leptoseris papyracea","Leptoseris papyracea","Leptoseris papyracea","Agariciidae","Agariciidae","complex"
"261","Leptoseris scabra","Leptoseris scabra","Leptoseris scabra","Agariciidae","Agariciidae","complex"
"262","Leptoseris solida","Leptoseris solida","Leptoseris solida","Agariciidae","Agariciidae","complex"
"263","Leptoseris yabei","Leptoseris yabei","Leptoseris yabei","Agariciidae","Agariciidae","complex"
"264","Lithophyllon mokai","Lithophyllon mokai","Cycloseris mokai","Fungiidae","Fungiidae","robust"
"265","Lithophyllon undulatum","Lithophyllon lobata","Lithophyllon undulatum","Fungiidae","Fungiidae","robust"
"266","Lobophyllia corymbosa","Lobophyllia corymbosa","Lobophyllia corymbosa","Mussidae","Lobophylliidae","robust"
"267","Lobophyllia dentata","Lobophyllia dentata","Lobophyllia dentata","Mussidae","Lobophylliidae","robust"
"268","Lobophyllia diminuta","Lobophyllia diminuta","Lobophyllia diminuta","Mussidae","Lobophylliidae","robust"
"269","Lobophyllia hataii","Lobophyllia hataii","Lobophyllia hataii","Mussidae","Lobophylliidae","robust"
"270","Lobophyllia hemprichii","Lobophyllia hemprichii","Lobophyllia hemprichii","Mussidae","Lobophylliidae","robust"
"271","Lobophyllia pachysepta","Lobophyllia pachysepta","Lobophyllia pachysepta","Mussidae","Lobophylliidae","robust"
"272","Lobophyllia robusta","Lobophyllia robusta","Lobophyllia robusta","Mussidae","Lobophylliidae","robust"
"273","Madracis kirbyi","Madracis kirbyi","Madracis kirbyi","Astrocoeniidae","Pocilloporidae","robust"
