"","OriginalMin","ImputedMinMin","ImputedMinMean","ImputedMinMax","OriginalMax","ImputedMaxMin","ImputedMaxMean","ImputedMaxMax"
"1",3.17,1.53141832875472,2.18925970873786,2.84710108872101,3.17,2.38264549226873,5.12226699029126,7.8618884883138
"2",2.74,1.45621235086193,2.29283495145631,3.12945755205069,2.74,2.20237469269917,5.06541019417476,7.92844569565034
"3",2.6,1.58231942086255,2.36778640776699,3.15325339467143,2.6,2.24411117265398,3.15720631067961,4.07030144870524
"4",1.61,1.77121458058951,2.48994417475728,3.20867376892505,1.61,2.74622980950561,4.84558737864078,6.94494494777594
"5",0.8,2.28066149502734,2.69842475728155,3.11618801953577,0.8,2.2830090900632,4.89591262135922,7.50881615265525
