"","OriginalMin","ImputedMinMin","ImputedMinMean","ImputedMinMax","OriginalMax","ImputedMaxMin","ImputedMaxMean","ImputedMaxMax"
"1",20,35.3621901971711,159.040839805825,282.719489414479,20,50.6616670043829,195.718640776699,340.775614549015
"2",150,36.0905103284583,152.326038834951,268.561567341445,150,48.6814914875629,186.859951456311,325.038411425058
"3",300,42.9439446449719,148.010786407767,253.077628170562,300,56.3719407976903,177.909466019417,299.446991241145
"4",40,30.1301661722245,138.329917475728,246.529668779232,40,41.1077671092868,169.457233009709,297.806698910131
"5",100,34.9022015083027,152.526601941748,270.151002375192,100,45.2931611386135,187.436747572816,329.580334007018
"6",50,37.7251480682542,152.686970873786,267.648793679319,50,51.9267635232523,187.994733009709,324.062702496165
"7",15,36.1520993979602,153.947689320388,271.743279242816,15,48.1847610696234,190.045606796117,331.90645252261
"8",25,33.6155941354341,159.83759223301,286.059590330585,25,45.5776484928163,198.85427184466,352.130895196504
"9",50,37.5551888456217,155.574305825243,273.593422804864,50,49.2512936321625,192.54182038835,335.832347144536
"10",50,35.5863745510965,155.450640776699,275.314907002302,50,46.0664974439608,191.660461165049,337.254424886136
"11",300,34.4546227913142,153.447160194175,272.439697597035,300,47.73012548203,188.152694174757,328.575262867485
"12",100,35.9943961537419,155.008388349515,274.022380545287,100,45.5493245261038,190.785752427184,336.022180328265
"13",100,35.6567883540961,155.018495145631,274.380201937166,100,49.3124732839385,191.023276699029,332.73408011412
"14",200,35.0067962073288,165.484461165049,295.962126122768,200,46.7089246796693,203.621334951456,360.533745223243
"15",150,35.4388390726298,154.604242718447,273.769646364263,150,46.5548570339233,190.141966019417,333.729075004912
"16",50,33.3457546851801,156.483834951456,279.621915217733,50,49.1010366500529,191.165631067961,333.230225485869
"17",1500,39.7458599309982,148.681917475728,257.617975020458,1500,47.7610732399234,185.167524271845,322.573975303766
"18",200,30.8441268199615,162.702417475728,294.560708131495,200,45.7015975661404,198.3825,351.06340243386
"19",50,36.7018241651148,156.666398058252,276.63097195139,50,49.7692955438921,192.515121359223,335.260947174554
"20",200,31.609137352942,167.77104368932,303.932950025699,200,45.2056995232315,209.106601941748,373.007504360264
"21",300,76.3433068272837,132.197650485437,188.05199414359,300,93.8445804905973,157.585339805825,221.326099121053
"22",500,35.8325044568296,153.092281553398,270.352058649967,500,49.6823936157637,189.089514563107,328.49663551045
"23",50,33.4005416586641,157.899252427184,282.397963195705,50,46.0466538197647,195.109563106796,344.172472393828
"24",40,37.5097499367373,155.124859223301,272.739968509865,40,50.3644424527605,192.12822815534,333.892013857919
"25",600,31.2513528856726,153.422029126214,275.592705366755,600,48.0463639758206,186.956626213592,325.866888451364
"26",100,33.7867893703129,158.067733009709,282.348676649105,100,46.3147127632043,196.33609223301,346.357471702815
"27",200,34.1398121484546,164.624669902913,295.109527657371,200,46.7185542356437,203.972548543689,361.226542851735
"28",300,36.5703056017171,151.787262135922,267.004218670128,300,49.8903466125848,184.528567961165,319.166789309745
"29",1000,36.0964134450887,151.576834951456,267.057256457824,1000,49.1370114852741,186.843810679612,324.550609873949
"30",15,77.3079714964766,141.339300970874,205.370630445271,15,94.7370871840101,169.867233009709,244.997378835407
"31",80,36.84008445363,154.24317961165,271.646274769671,80,51.198764810551,189.194902912621,327.191041014692
"32",100,31.4752389982028,152.994888349515,274.514537700826,100,45.0883935667895,187.457063106796,329.825732646803
"33",15,46.9889575921985,163.585640776699,280.1823239612,15,59.4091382744028,198.242791262136,337.076444249869
"34",80,35.4704411541396,153.427504854369,271.384568554598,80,49.7012519912336,188.613300970874,327.525349950514
"35",500,31.6408490877664,154.555291262136,277.469733436505,500,46.4852420026655,189.313373786408,332.14150557015
"36",100,35.9340806139967,155.605567961165,275.277055308333,100,47.3051782490986,192.228203883495,337.151229517892
"37",30,33.1535450914305,159.475466019417,285.797386947404,30,47.7144001266291,196.172184466019,344.62996880541
"38",100,33.1342742820283,158.971422330097,284.808570378166,100,47.933653517587,193.443155339806,338.952657162025
"39",75,38.2359780988074,154.44867961165,270.661381124494,75,51.1622707690953,189.757014563107,328.351758357118
"40",200,34.1590417466454,166.27445631068,298.389870874714,200,43.5215161120659,206.528203883495,369.534891654924
"41",50,33.2944520364768,156.745844660194,280.197237283912,50,48.1272001796454,190.979708737864,333.832217296083
"42",200,31.952622686613,165.578742718447,299.20486275028,200,44.6954215190243,205.598640776699,366.501860034374
"43",200,25.8309339860274,172.037305825243,318.243677664458,200,41.1198267227784,211.126529126214,381.133231529649
"44",50,35.3825000006192,156.926810679612,278.471121358604,50,46.9589916145241,196.061383495146,345.163775375767
"45",40,29.0704106738036,150.794150485437,272.51789029707,40,38.8430983610599,185.365291262136,331.887484163212
"46",200,30.3481111976179,163.902781553398,297.457451909178,200,47.3034648529715,202.782111650485,358.260758447999
"47",500,30.8391601624514,157.615184466019,284.391208769587,500,48.5027669984873,188.693009708738,328.883252418988
"48",100,33.0784978013329,153.944145631068,274.809793460803,100,44.260087321664,190.249514563107,336.23894180455
"49",100,32.8677717304771,155.063941747573,277.260111764669,100,45.7632267075345,192.750606796117,339.737986884699
"50",200,33.3731754257113,166.257150485437,299.141125545162,200,49.5964470795761,205.505849514563,361.41525194955
"51",20,29.0097479157067,158.994980582524,288.980213249342,20,45.463673772327,195.631165048544,345.79865632476
"52",20,39.8613122930388,150.92104368932,261.980775085602,20,52.9126178800283,185.460291262136,318.007964644244
"53",100,34.0882411632974,155.476689320388,276.865137477479,100,48.4353142560262,191.232718446602,334.030122637178
"54",100,32.1546820400912,156.412441747573,280.670201455054,100,47.0955596990611,190.309490291262,333.523420883463
"55",500,33.7990575650264,153.81559223301,273.832126900993,500,47.3661228710829,189.03895631068,330.711789750276
"56",7.6,34.9579044175704,156.745995145631,278.534085873692,7.6,48.183388069515,193.11354368932,338.043699309126
"57",4,30.1941976173789,138.770961165049,247.347724712718,4,43.1992185481005,167.968082524272,292.736946500443
"58",7,33.0167940545015,155.161160194175,277.305526333848,7,46.4266712439633,190.04140776699,333.656144290017
"59",13,36.3763183461618,156.144281553398,275.912244760634,13,50.9420246305925,190.964029126214,330.986033621835
"60",100,32.2870662795741,156.899553398058,281.512040516542,100,47.8470557027426,192.058665048544,336.270274394345
"61",4,34.0300522584837,156.542247572816,279.054442887147,4,47.3042710762696,191.405121359223,335.505971642177
"62",7,39.0817481258311,155.073766990291,271.065785854751,7,50.6439194463831,192.344781553398,334.045643660413
"63",500,39.3794374289916,151.532257281553,263.685077134115,500,50.3574299678393,187.265995145631,324.174560323423
"64",40,35.4715808375619,156.40682038835,277.342059939137,40,51.5092551709967,191.645898058252,331.782540945508
"65",500,36.5920422788643,151.647,266.701957721136,500,48.9742881139697,188.7425,328.51071188603
"66",500,31.3568407680772,154.122174757282,276.887508746486,500,46.7492098460809,188.838859223301,330.928508600521
"67",500,31.5877117896481,156.180529126214,280.773346462779,500,46.1693476809288,192.240898058252,338.312448435576
"68",100,35.3359621591343,154.096567961165,272.857173763196,100,49.9711993993123,188.749466019417,327.527732639523
"69",12,31.9791983534136,157.797024271845,283.614850190276,12,47.7421741153437,193.58572815534,339.429282195336
"70",100,35.7183201055,155.848699029126,275.979077952752,100,47.2964653889278,193.41786407767,339.539262766412
"71",100,33.9571336901413,157.750150485437,281.543167280733,100,47.9017533720198,192.077766990291,336.253780608563
"72",100,33.9911822279497,155.845237864078,277.699293500206,100,47.1270307522215,190.764830097087,334.402629441953
"73",100,31.3500472378809,156.56772815534,281.785409072799,100,45.7830306252281,191.96786407767,338.152697530112
"74",100,35.0468779576538,156.491674757282,277.936471556909,100,48.7682176079182,192.644223300971,336.520228994024
"75",16,43.4261320006049,150.465844660194,257.505557319783,16,54.5094013100394,185.058082524272,315.606763738504
"76",24,33.5357056554857,157.941859223301,282.348012791116,24,50.1821403277482,192.261189320388,334.340238313029
"77",24,34.154475456715,157.212203883495,280.269932310275,24,46.4869144022691,192.585825242718,338.684736083168
"78",13.5,31.5471399102526,156.45272815534,281.358316400427,13.5,49.1259148832696,189.823834951456,330.521755019643
"79",20,36.593259501574,153.828330097087,271.063400692601,20,47.5755251136818,189.46963592233,331.363746730978
"80",20,30.7277250838112,158.477310679612,286.226896275412,20,45.5136866416385,192.948276699029,340.38286675642
"81",25,32.5051155504905,157.712470873786,282.919826197082,25,47.7355733832172,193.453422330097,339.171271276977
"82",30,35.1661715006341,157.496412621359,279.826653742084,30,48.9360887411755,192.012330097087,335.088571452999
"83",17,33.3673867376569,155.763131067961,278.158875398265,17,45.3453732226087,192.801723300971,340.258073379333
"84",50,32.3415577515588,156.547868932039,280.754180112519,50,44.3852683967892,191.227378640777,338.069488884764
"85",100,33.3073481288004,158.77432038835,284.241292647899,100,47.1910448063296,192.775339805825,338.359634805321
"86",500,36.1617584667078,153.242257281553,270.322756096399,500,48.6086857482644,189.327014563107,330.045343377949
"87",200,34.9618489853613,163.436053398058,291.910257810755,200,50.355798087862,200.342038834951,350.328279582041
"88",15,38.2800464339181,156.190631067961,274.101215702004,15,48.2960706160859,194.181213592233,340.06635656838
"89",500,40.5091159404197,150.233077669903,259.957039399386,500,51.5911066433995,185.303786407767,319.016466172134
"90",100,33.6361681288882,156.296980582524,278.95779303616,100,47.9807427003262,192.729344660194,337.477946620062
"91",20,35.2252362637173,158.318781553398,281.412326843079,20,50.6749974889014,193.444660194175,336.214322899448
"92",100,74.1899415596353,137.102757281553,200.015573003472,100,91.2933955292359,163.85463592233,236.415876315424
"93",200,32.6426475173681,167.294606796117,301.946566074865,200,48.2628044612344,204.156893203883,360.050981946533
"94",10,35.497547688585,156.553432038835,277.609316389085,10,47.551866492596,194.594199029126,341.636531565656
"95",60,34.7326800323726,155.455281553398,276.177883074424,60,49.8426824176063,192.062111650485,334.281540883365
"96",20,34.6031281088933,158.498524271845,282.393920434796,20,47.3455564636831,195.185315533981,343.025074604278
"97",4.5,38.4602547426197,155.366291262136,272.272327781652,4.5,51.0214633861681,190.975024271845,330.928585157521
"98",20,34.222945365241,157.093529126214,279.964112887186,20,49.8751011606657,191.700121359223,333.525141557781
"99",100,32.3356178115105,155.967922330097,279.600226848684,100,46.7232891443879,191.445800970874,336.16831279736
"100",100,31.1750240123114,155.731378640777,280.287733269242,100,45.4616572604048,190.763009708738,336.064362157071
"101",100,35.3899377894092,155.078310679612,274.766683569814,100,49.6833728941784,190.167936893204,330.652500892229
"102",600,37.777516791185,151.308616504854,264.839716218524,600,49.5271376026116,186.949733009709,324.372328416806
"103",100,38.8145867505747,153.702650485437,268.590714220299,100,49.5861262845291,187.209296116505,324.832465948481
"104",100,31.5841234714715,159.661087378641,287.73805128581,100,44.4038158230967,196.5325,348.661184176903
"105",8,37.4631517271281,154.940791262136,272.418430797144,8,51.2226432666059,189.980436893204,328.738230519802
"106",50,32.2271733026866,164.118611650485,296.010049998284,50,44.1590434209166,201.099101941748,358.039160462579
"107",200,29.5040039546589,163.939063106796,298.374122258933,200,45.2728372439937,202.288665048544,359.304492853094
"108",500,29.9907148705343,156.05845631068,282.126197750825,500,46.0848917642334,190.471432038835,334.857972313437
"109",50,36.6827097688029,156.875281553398,277.067853337993,50,49.3252138627321,192.738106796117,336.150999729501
"110",125,37.780355922532,157.724834951456,277.669313980381,125,50.1314593062128,195.230800970874,340.330142635535
"111",100,31.2166162571439,156.335072815534,281.453529373924,100,45.0539939219244,191.814441747573,338.574889573221
"112",200,31.0508920362751,164.446995145631,297.843098254987,200,49.2174203551423,202.337645631068,355.457870906994
"113",200,27.2444126805918,167.878504854369,308.512597028146,200,42.6040266520605,206.68317961165,370.76233257124
"114",25,34.6371546299608,155.613053398058,276.588952166156,25,50.056851198767,190.855825242718,331.65479928667
"115",300,35.3699416687958,155.411742718447,275.453543768097,300,49.1752570554069,193.039417475728,336.903577896049
"116",100,33.6642753468456,161.140878640777,288.617481934708,100,48.2949476203448,201.220218446602,354.145489272859
"117",100,30.2187422931396,154.467126213592,278.715510134045,100,45.0907266437307,183.369708737864,321.648690831997
"118",2,36.0420309650162,155.818791262136,275.595551559256,2,51.6718815970406,190.891941747573,330.112001898105
"119",100,37.4639087786176,156.398548543689,275.333188308761,100,50.1672408172209,190.303495145631,330.439749474041
