"","family","colonydiameterMin","colonydiameterMax","colonyareaMin","colonyareaMax","colonyshape","coloniality","ID"
"145","Poritidae",10,10,NA,NA,NA,"colonial",377
"146","Poritidae",20,20,NA,NA,NA,"colonial",378
"147","Psammocoridae",50,50,NA,NA,NA,"colonial",380
"148","Psammocoridae",6.5,6.5,NA,NA,NA,"colonial",381
"149","Psammocoridae",50,50,NA,NA,NA,"colonial",385
"150","Siderastreidae",16,16,NA,NA,NA,"colonial",387
"151","Fungiidae",50,50,NA,NA,NA,"colonial",389
"152","Poritidae",1.5,15,NA,NA,NA,"colonial",393
"153","Pocilloporidae",50,50,NA,NA,NA,"colonial",395
"154","Merulinidae",8,8,NA,NA,NA,"colonial",401
"155","Dendrophylliidae",400,400,NA,NA,NA,"colonial",404
"156","Dendrophylliidae",100,100,NA,NA,NA,"colonial",407
"157","Dendrophylliidae",100,100,NA,NA,NA,"colonial",410
"158","Dendrophylliidae",500,500,NA,NA,NA,"colonial",411
"159","Fungiidae",60,60,NA,NA,NA,"colonial",413
