"","OriginalMin","ImputedMinMin","ImputedMinMean","ImputedMinMax","OriginalMax","ImputedMaxMin","ImputedMaxMean","ImputedMaxMax"
"1",1.79247368421053,-9.76793913121023,19.3087498094285,48.3854387500673,1.79247368421053,-7.02436090767932,35.7096518978307,78.4436647033407
"2",62.9,-9.74051965311525,14.0848769297446,37.9102735126045,62.9,-6.17312050954181,28.8787849474756,63.930690404493
"3",28,-10.1255613170588,19.1744636605796,48.4744886382179,28,-7.14129638747863,35.5735334209557,78.28836322939
"4",0.25,-9.08221533767375,19.9953149879018,49.0728453134773,0.25,-5.44560784665272,37.6488750628494,80.7433579723515
"5",14.1,-9.70940462513901,19.2596844747124,48.2287735745638,14.1,-7.02417734003077,35.996514761354,79.0172068627388
"6",30.194,-10.0022856452699,17.9657503580753,45.9337863614205,30.194,-6.57572526120207,31.8354108775792,70.2465470163605
"7",0.56,-9.54817515564593,19.9685773019382,49.4853297595223,0.56,-5.52051310785426,37.015117989273,79.5507490864003
"8",16.61,-9.74299496837707,18.7218229988518,47.1866409660807,16.61,-6.82045705320773,35.0831831852221,76.9868234236518
"9",16.7,-9.90555087664034,19.4445680363126,48.7946869492655,16.7,-6.0698627391148,36.5228354342768,79.1155336076684
"10",68.7,-10.7868802575013,18.2962845186941,47.3794492948894,68.7,-6.64639233468464,33.6272382789519,73.9008688925885
"11",128.333333333333,-7.8809835440382,16.5172415937486,40.9154667315353,128.333333333333,-5.48027003125667,33.5655782302021,72.6114264916609
"12",20.65,-9.87161676967006,19.4019973269303,48.6756114235307,20.65,-7.06486281535803,35.9710351907354,79.0069331968288
"13",28.37,-10.561680003545,21.2584112760333,53.0785025556115,28.37,-7.66646561388264,36.7609679634995,81.1884015408816
"14",1.46,-9.58643383690557,20.0624187721521,49.7112713812097,1.46,-6.26770106379119,36.9327896244684,80.133280312728
"15",2.6,-9.92885298506739,20.1894822612007,50.3078175074688,2.6,-5.92871290294309,37.2507104101082,80.4301337231595
"16",3.935,-9.48755221975531,20.5389100739229,50.5653723676011,3.935,-5.64946934178676,37.9651727748062,81.5798148913991
"17",3.3,-9.55218226369553,19.8703371703059,49.2928566043073,3.3,-6.28384048895241,36.8898964225882,80.0636333341289
"18",0.77,-9.72725869590148,20.0089794532907,49.7452176024828,0.77,-6.89033188060623,37.0474473464847,80.9852265735757
"19",0.835,-9.53834768869719,19.4164698561391,48.3712874009754,0.835,-5.99802925160169,35.9285032441587,77.8550357399191
"20",2.8,-9.72830082979179,20.0489967933102,49.8262944164121,2.8,-6.42189524905405,37.3763067608282,81.1745087707104
"21",1.215,-9.16472934116742,19.5951559734852,48.3550412881378,1.215,-6.14314687176384,37.3641199174403,80.8713867066444
"22",5.1,-9.70761594340371,19.468768187117,48.6451523176377,5.1,-6.17091111435792,35.9159560536964,78.0028232217508
"23",0.9,-9.4799558751603,19.533587385383,48.5471306459263,0.9,-5.84425340032,36.0324810460086,77.9092154923372
"24",0.9,-9.4799558751603,19.533587385383,48.5471306459263,0.9,-5.84425340032,36.0324810460086,77.9092154923372
"25",126.08,-7.97606754938155,15.6307995557388,39.2376666608592,126.08,-7.05439626998702,32.7795193071754,72.6134348843379
"26",1.29664929243099,-9.42996704268632,19.1406335271784,47.7112340970431,1.29664929243099,-6.42921276056726,36.708909632006,79.8470320245792
"27",0.0707102775708169,-9.60778421034681,19.635044467706,48.8778731457589,0.0707102775708169,-6.24259477840665,36.2665653419319,78.7757254622704
"28",7.06557104837369,-9.76568764608939,19.9051971549922,49.5760819560738,7.06557104837369,-6.84789638395502,36.914630284262,80.677156952479
"29",3.2,-9.78057883218689,19.2394832063119,48.2595452448107,3.2,-7.10122330042952,35.9862202256258,79.0736637516812
"30",0.87,-9.26927442462599,20.2350378787974,49.7393501822208,0.87,-5.63498276436457,37.5387885098645,80.7125597840937
"31",11.6168350770049,-9.45834035363675,20.4870321782139,50.4324047100646,11.6168350770049,-5.87781799165796,35.409928122079,76.6976742358159
"32",16.4,-9.96429485664839,19.196279392225,48.3568536410984,16.4,-6.49705574898579,35.3124770997825,77.1220099485508
"33",14.46775,-9.47224753869622,19.6319537326103,48.7361550039168,14.46775,-5.85863258258849,35.884312352787,77.6272572881625
"34",7.56,-9.35058306127842,19.9659323704575,49.2824478021935,7.56,-5.9269229436599,37.2877019920529,80.5023269277658
"35",3.17489868342435,-9.34191091855335,20.1537686083229,49.6494481351991,3.17489868342435,-6.06641790699187,36.9671205153772,80.0006589377463
"36",6.60181958593922,-9.60920269943757,19.388457815847,48.3861183311316,6.60181958593922,-6.76000632547021,35.78532410407,78.3306545336102
"37",4,-9.47306280665557,19.3556983211381,48.1844594489318,4,-6.79371171743173,36.1146054413048,79.0229226000413
"38",0.395,-9.6633050389157,19.095703844975,47.8547127288656,0.395,-6.85411337375039,35.1359902503429,77.1260938744362
"39",1.65,-9.49782816910119,20.1118379892909,49.721504147683,1.65,-5.75874998487159,37.4618040347202,80.682358054312
"40",6.92044821461966,-9.47364071440255,20.5755282551692,50.6246972247409,6.92044821461966,-6.29192592624492,37.5175580878285,81.3270421019019
"41",0.26,-8.9083154751477,21.337792822002,51.5839011191516,0.26,-4.68727110807038,39.0451959666362,82.7776630413428
