"","OriginalMin","ImputedMinMin","ImputedMinMean","ImputedMinMax","OriginalMax","ImputedMaxMin","ImputedMaxMean","ImputedMaxMax"
"1",3.17,1.42777758803803,2.13686796116505,2.84595833429207,3.17,2.35906951869005,5.14049077669903,7.92191203470801
"2",2.74,1.41898061833706,2.26110048543689,3.10322035253672,2.74,1.96990997135992,4.88771553398058,7.80552109660124
"3",2.6,1.5779240949843,2.37742524271845,3.17692639045259,2.6,2.26860991483019,3.18646165048544,4.10431338614068
"4",1.61,1.79216979582011,2.51935194174757,3.24653408767504,1.61,2.70722307690784,4.90067669902913,7.09413032115041
"5",0.8,2.28726160542539,2.70540776699029,3.12355392855519,0.8,2.21717903035627,4.79582621359223,7.37447339682819
